model,degradation,level,variant,n,accuracy,balanced_acc,f1_macro,kappa_qw,acc_ci_lo,acc_ci_hi,kappa_ci_lo,kappa_ci_hi,recall_c0,recall_c1,recall_c2,recall_c3,recall_c4
efficientnet_b3,exposure,mid,swinir_gan,440,0.05454545454545454,0.19667471819645735,0.028196785533871484,0.01905275456097788,0.03630681818181818,0.07727272727272727,0.0013524763744648756,0.037298418483141915,0.004629629629629629,0.022222222222222223,0.0,0.9565217391304348,0.0
efficientnet_b3,exposure,mid,ddpm,440,0.05227272727272727,0.2,0.019870410367170625,0.0,0.03409090909090909,0.075,0.0,0.0,0.0,0.0,0.0,1.0,0.0
efficientnet_b3,exposure,mid,ddpm_path,440,0.05227272727272727,0.2,0.019913419913419914,0.0019807041083637067,0.03409090909090909,0.075,0.0,0.006713241509762341,0.0,0.0,0.0,1.0,0.0
efficientnet_b3,exposure,high,raw,440,0.056818181818181816,0.20537037037037037,0.02955977615238457,0.019295987826692063,0.03636363636363636,0.07727272727272727,0.007047413729571114,0.032695849189950284,0.004629629629629629,0.022222222222222223,0.0,1.0,0.0
efficientnet_b3,exposure,high,clahe,440,0.075,0.2296376811594203,0.05897394205921833,0.03351554013805669,0.05,0.1,-0.002449950234609703,0.07104967907894452,0.013888888888888888,0.17777777777777778,0.0,0.9565217391304348,0.0
efficientnet_b3,exposure,high,genai,440,0.09772727272727273,0.262061191626409,0.08420311453811098,-0.0008220304151254076,0.07267045454545455,0.12727272727272726,-0.04740321381739239,0.04447925336248316,0.018518518518518517,0.4222222222222222,0.0,0.8695652173913043,0.0
efficientnet_b3,exposure,high,cold_diff,440,0.05454545454545454,0.2009259259259259,0.022704995976885377,0.013361375726834157,0.03409090909090909,0.075,-0.011831094680099014,0.03916656282668512,0.004629629629629629,0.0,0.0,1.0,0.0
efficientnet_b3,exposure,high,swinir_gan,440,0.056818181818181816,0.19686795491143316,0.03651544911989121,0.018826387307371073,0.03636363636363636,0.07954545454545454,-0.010865103631006645,0.04561489975878263,0.004629629629629629,0.06666666666666667,0.0,0.9130434782608695,0.0
efficientnet_b3,exposure,high,ddpm,440,0.05227272727272727,0.2,0.019870410367170625,0.0,0.031818181818181815,0.07272727272727272,0.0,0.0,0.0,0.0,0.0,1.0,0.0
efficientnet_b3,exposure,high,ddpm_path,440,0.05454545454545454,0.20444444444444443,0.028609072087332953,0.0002236278832022931,0.03409090909090909,0.075,0.0,0.0009529145041981876,0.0,0.022222222222222223,0.0,1.0,0.0
efficientnet_b3,noise,low,raw,440,0.05227272727272727,0.2,0.019870410367170625,0.0,0.03409090909090909,0.075,0.0,0.0,0.0,0.0,0.0,1.0,0.0
efficientnet_b3,noise,low,clahe,440,0.05227272727272727,0.2,0.019870410367170625,0.0,0.03409090909090909,0.075,0.0,0.0,0.0,0.0,0.0,1.0,0.0
