degradation,level,id_code,raw_psnr,raw_ssim,clahe_psnr,clahe_ssim,genai_psnr,genai_ssim,cold_diff_psnr,cold_diff_ssim,swinir_gan_psnr,swinir_gan_ssim,ddpm_psnr,ddpm_ssim,ddpm_path_psnr,ddpm_path_ssim
exposure,mid,1b4625877527,14.253139333548084,0.6503931,17.0246594042039,0.6896232,14.303308705280067,0.6566994,23.1954325668184,0.8648556,20.866815664389087,0.74562216,8.657125953121716,0.023400843,14.514715664864102,0.65112305
exposure,mid,22325552a4e3,13.349308626477136,0.6309494,15.25766085588492,0.6560486,13.368016713450752,0.65037745,22.38431247432871,0.8536652,21.271424945610832,0.752541,8.134610002248163,0.019432183,13.4662625173645,0.5622097
exposure,mid,a3802934bad7,12.221669997408327,0.61231655,14.007299531331071,0.71189785,12.24536573468491,0.6142905,22.649639412126795,0.8537293,18.244741861654735,0.74181056,9.179363669451517,0.025221186,12.321512819737901,0.57222843
exposure,mid,a6c9e96a10d7,13.502978491702057,0.60400873,16.721390489462657,0.774014,13.458253114339954,0.6006482,23.065091743629758,0.8704793,17.70159009610925,0.6618083,10.011265085044611,0.02758415,13.527822832424768,0.55361706
exposure,mid,3730c322d35b,12.285129217105645,0.6345913,14.301678003147849,0.5962503,12.279730487844184,0.6501401,21.518154838939445,0.8317144,24.88115370335261,0.7839368,8.48241845442432,0.022977473,12.36432939229456,0.6209236
exposure,mid,ab7991df166b,18.2969824445073,0.68740886,21.031473454516526,0.69494253,18.324614637270336,0.6831487,27.17210035235622,0.90505415,17.613305556588056,0.77404284,7.647903475160299,0.01786116,18.797440655801253,0.6606789
noise,low,9b70f84400af,36.42884369266537,0.84504575,18.820345638072045,0.38920107,35.65616763103989,0.91885185,34.10741293741521,0.8732944,29.118769304927405,0.86663944,8.102940650192377,0.021488622,34.20554212014694,0.9103938
noise,low,3f73c91b7e32,36.54666127986804,0.8671236,21.40151024202343,0.39860258,36.097540280232245,0.8864667,34.517072717095246,0.86109257,35.37790005714765,0.9114693,8.424665734244721,0.022825023,35.6253476306179,0.8893597
noise,low,bcd503c726ba,34.884543988494215,0.84611225,20.18065051423975,0.41065356,33.36653599744272,0.8187644,32.483418369600436,0.80918735,32.12780727238031,0.84367967,8.360021501782384,0.021137908,32.742265728552525,0.8232262
noise,low,944a233fbf8e,35.406751211977586,0.85341126,21.31913655830983,0.41797414,34.00148851848147,0.84804577,33.17709600921298,0.8357389,33.41186349268785,0.8742461,8.469344125925133,0.023248814,33.80274327106813,0.85254043
noise,low,b2748ac28fc1,35.71407401470153,0.8617856,21.115764939059908,0.42845395,34.71541922363222,0.8695729,33.60449652302484,0.85201263,34.066906430119815,0.88292724,8.802019460524061,0.024603052,33.98795784286891,0.86027664
noise,low,a4359815f152,37.61759973006307,0.8914955,17.4397179057385,0.4144903,37.575415984002,0.92520684,35.8754160258188,0.8784644,23.272534685579608,0.7699302,8.702242539826903,0.023591204,36.65406910428708,0.9011108
noise,low,750e0168399d,36.669941084261794,0.76536417,23.10694846478547,0.30756178,36.224310901147824,0.92246413,34.8997930744175,0.89472455,34.83135149694921,0.86088735,7.367777697923366,0.01679483,35.170611723191556,0.9213856
noise,low,4276b82e4489,36.28695420056289,0.7357293,22.621698628900813,0.25368968,35.41769146684684,0.8924966,34.28966273526741,0.86887485,34.279137449246186,0.8377109,7.044226942966616,0.013901961,35.055211231554225,0.90143275
noise,low,e3ab63dc9a60,35.41047502485868,0.8556382,22.393793473346562,0.4348035,34.38955119625468,0.8677717,33.39962121659765,0.84353405,33.449998442490525,0.8858343,8.880460901666527,0.025844194,33.96472921917291,0.8688784
noise,low,d6f6bdfd8011,34.91771882564422,0.8210893,23.318188742175362,0.41986573,34.2348684373735,0.85409397,33.07368146100144,0.8105752,33.45959814207407,0.85748434,9.187123507250858,0.02555673,32.76893103355552,0.8439315
noise,low,87774aafe068,36.062158503213986,0.85928965,21.358506122055296,0.41267225,34.64984331624971,0.8593175,34.03841751302406,0.846097,34.82453039020007,0.8869874,8.446391843051375,0.022076653,34.60225905857567,0.8644278
noise,low,3f6bccf21ce8,34.10548737241135,0.80181247,22.244837856172587,0.4086133,32.64503316708101,0.8140333,31.902547031729842,0.7872004,31.871896483682228,0.8179137,7.983082623642382,0.022702979,31.776407732441587,0.8188904
noise,low,840a06a9c690,34.7439413821578,0.8048847,21.92695152300484,0.384102,33.645800889528516,0.8360649,32.88774335500183,0.80436397,33.090470919032995,0.835639,8.278976959665492,0.021359848,32.69356897999808,0.83651775
noise,low,d271d3a2b552,34.83788727683094,0.84004307,21.540549946681654,0.43504032,33.11593711749261,0.80847955,32.26577747494925,0.7996946,32.07060620106597,0.8361709,8.405875234668212,0.022692727,32.4785715927459,0.8152825
noise,low,bc73ce76ec43,34.7640624011241,0.80874723,21.788052346492172,0.37373185,33.81731547425596,0.82655716,32.915186098099916,0.7961464,33.157995901441254,0.8336983,8.180995665078191,0.01972336,32.74766402549189,0.8245599
noise,low,3ddb86eb530e,37.40772559140527,0.88435555,18.390729937932758,0.43983972,37.57544125217632,0.92087513,35.9198890236048,0.8742141,32.198866221342335,0.8960263,9.176979223092543,0.025626764,35.895965304655,0.8952686
noise,low,e2856afe62c5,35.84709818333964,0.83126956,23.24431104588989,0.40147057,34.93270004733383,0.826565,33.40289224593341,0.8071866,33.500386640688504,0.86817664,8.14891944013511,0.022302603,33.99179836834792,0.8445743
noise,low,77e15f213b04,36.17949940248752,0.7587034,24.633248658957264,0.31052235,35.70286605654893,0.920564,34.527549505019536,0.8951235,33.56795476930016,0.86363125,7.495947314046382,0.019533135,32.59570203878033,0.9164818
noise,low,3ccf96c1dd6d,35.88289886039136,0.8602417,22.845979500153476,0.41887224,35.06499918472235,0.87106866,33.817486676552065,0.85434705,34.09499204092631,0.8951709,8.519740814813346,0.02339076,33.644145920930086,0.865309
